"CBA000113707","17th century","TimePeriod","",""
"CBA000113785","Christianity ","Concept","",""
"CBA000113848","Enlightenment","Concept","",""
"CBA000113995","Monogenism; polygenism","Concept","",""
"CBA000114007","Natural history","Concept","",""
"CBA000114079","Science and religion","Concept","",""
"CBA000114235","Psychoanalysis","Concept","",""
"CBA000114397","Geology","Concept","",""
"CBA000114552","United States","GeographicTerm","",""
"CBA000116444","Matter theory","Concept","",""
"CBA000116648","History as a discipline; chronology; study of the past","Concept","",""
"CBA000116650","Mechanism; mechanical philosophy","Concept","",""
"CBA000116672","Forces","Concept","",""
"CBA000116979","Roman Catholic Church","Concept","",""
"CBA000121443","Annals of Science: The History of Science and Technology","SerialPublication","",""
"CBA000121773","British Journal for the History of Science","SerialPublication","",""
"CBA000122622","Historical Studies in the Physical and Biological Sciences","SerialPublication","",""
"CBA000122847","Isis: International Review Devoted to the History of Science and Its Cultural Influences","SerialPublication","",""
"CBA000123195","Journal of the History of Biology","SerialPublication","",""
"CBA000123514","Metascience: An International Review Journal for the History, Philosophy and Social Studies of Science","SerialPublication","",""
"CBA000130297","Science and religion","ClassificationTerm","",""
"CBA000131004","Science and religion -- Medieval Western European contexts","ClassificationTerm","",""
"CBA000131122","Science and religion -- 17th century","ClassificationTerm","",""
"CBA000131139","Natural history -- 17th century","ClassificationTerm","",""
"CBA000131181","Science and religion -- 18th century","ClassificationTerm","",""
"CBA000131240","Science and religion -- 19th century","ClassificationTerm","",""
"CBA000131255","Earth and atmospheric sciences -- 19th century","ClassificationTerm","",""
"CBA000131263","Heredity; evolution; genetics -- 19th century","ClassificationTerm","",""
"CBA000131265","Physical anthropology; human anatomy and physiology -- 19th century","ClassificationTerm","",""
"CBA000131299","Science and religion -- 20th century","ClassificationTerm","",""
"CBA000131326","Psychology; comparative psychology -- 20th century","ClassificationTerm","",""
"CBA000138978","University of Chicago Press","Institution","",""
"CBA000003512","Ashworth, William B., Jr.","Person","",""
"CBA000004253","Bacon, Roger","Person","c. 1214-1294",""
"CBA000011757","Bowler, Peter J.","Person","",""
"CBA000013092","Broman, Thomas H.","Person","",""
"CBA000013555","Browne, Janet","Person","",""
"CBA000014734","Burnett, Tom","Person","",""
"CBA000026104","Dixon, Thomas","Person","",""
"CBA000035036","Galilei, Galileo","Person","1564-1642",""
"CBA000039751","Greene, Mott T.","Person","",""
"CBA000043084","Harrison, Peter","Person","",""
"CBA000045300","Hetherington, Norriss S.","Person","",""
"CBA000054681","Knight, David","Person","",""
"CBA000058111","Larson, Edward John","Person","",""
"CBA000060880","Lindberg, David C.","Person","",""
"CBA000061402","Livingstone, David N.","Person","",""
"CBA000063483","MacPherson, Ryan Cameron","Person","",""
"CBA000073526","Nelson, G. Blair","Person","",""
"CBA000074843","Numbers, Ronald L.","Person","",""
"CBA000085816","Roberts, Jon H.","Person","",""
"CBA000072333","Mullin, Robert Bruce","Person","",""
"CBA000003806","Augustine, Saint","Person","354-430",""
"CBA000092363","Scopes, John Thomas","Person","1900-1970",""
